Title,Link
Linux Sandboxes and Fil-C,https://fil-c.org/seccomp
Using e-ink tablet as monitor for Linux,https://alavi.me/blog/e-ink-tablet-as-monitor-linux/
I fed 24 years of my blog posts to a Markov model,https://susam.net/fed-24-years-of-posts-to-markov-model.html
Dagger: Define software delivery workflows and dev environments,https://dagger.io/
Compiler Engineering in Practice,https://chisophugis.github.io/2025/12/08/compiler-engineering-in-practice-part-1-what-is-a-compiler.html
Recovering Anthony Bourdain's Li.st's,https://sandyuraz.com/blogs/bourdain/
Cat Gap,https://en.wikipedia.org/wiki/Cat_gap
I tried Gleam for Advent of Code,https://blog.tymscar.com/posts/gleamaoc2025/
Lean theorem prover mathlib,https://github.com/leanprover-community/mathlib4
An Implementation of J (1992),https://www.jsoftware.com/ioj/ioj.htm
Closures as Win32 Window Procedures,https://nullprogram.com/blog/2025/12/12/
Show HN: Cargo-rail: graph-aware monorepo tooling for Rust; 11 deps,https://github.com/loadingalias/cargo-rail
Getting into Public Speaking,https://james.brooks.page/blog/getting-into-public-speaking
No-Tifier (2017),https://subject.space/projects/no-tifier/
Create a Markdown Editor in Ruby on Rails,https://blog.appsignal.com/2025/12/10/create-a-markdown-editor-in-ruby-on-rails.html
"If a Meta AI model can read a brain-wide signal, why wouldn't the brain?",https://1393.xyz/writing/if-a-meta-ai-model-can-read-a-brain-wide-signal-why-wouldnt-the-brain
Mystery Science Theater 3000: The Definitive Oral History of a TV Masterpiece,https://www.wired.com/2014/04/mst3k-oral-history/
Useful patterns for building HTML tools,https://simonwillison.net/2025/Dec/10/html-tools/
"The Rise of Computer Games, Part I: Adventure",https://technicshistory.com/2025/12/13/the-rise-of-computer-games-part-i-adventure/
VPN location claims don't match real traffic exits,https://ipinfo.io/blog/vpn-location-mismatch-report
"An off-grid, flat-packable washing machine",https://www.positive.news/society/flat-pack-washing-machine-spins-a-fairer-future/
Go Proposal: Secret Mode,https://antonz.org/accepted/runtime-secret/
“You should never build a CMS”,https://www.sanity.io/blog/you-should-never-build-a-cms
Dhtml Lemmings (2004),https://www.elizium.nu/scripts/lemmings/index.php
Heavy metal is healing teens on the Blackfeet Nation,https://www.hcn.org/issues/57-11/heavy-metal-is-healing-teens-on-the-blackfeet-nation/
Ask HN: How can I get better at using AI for programming?,item?id=46255285
From Azure Functions to FreeBSD,https://jmmv.dev/2025/12/from-azure-functions-to-freebsd.html
Cryptids,https://wiki.bbchallenge.org/wiki/Cryptids
Using Python for Scripting,https://hypirion.com/musings/use-python-for-scripting
"Bye, Mom",https://aella.substack.com/p/bye-mom
